date,no2_trop,co_trop
2024-11-09,7.96430749480255e-05,
2024-11-10,,0.0501769203917857
2024-11-11,0.0002142913468903399,0.057293264932892
2024-11-12,0.00015324433193979648,0.0462298022502444
2024-11-13,0.0001570972141995237,0.0637309579689847
2024-11-14,0.00013055150919783862,0.0565865778472917
2024-11-15,0.0001421369001588154,0.0556281919894806
2024-11-16,9.077100548892874e-05,0.0515838960739466
2024-11-17,6.763628334738063e-05,0.0690150633454297
2024-11-18,,0.0800062778374177
2024-11-19,,0.0659488867538526
2024-11-20,0.0001206476299373907,0.0493788234889488
2024-11-21,0.00011064230399626344,0.0513698053498524
2024-11-22,0.00022285474040534235,0.0604730285704113
2024-11-23,0.00019896567462619923,0.0530642459332247
2024-11-24,0.00013058164463988358,0.04778833378776
2024-11-25,,0.0577890312527843
2024-11-26,9.010768845391426e-05,0.0426965949143037
2024-11-27,0.00010479034813718976,0.0478654056787473
2024-11-28,0.00013624269736999597,0.048499359142344
2024-11-29,0.0002065994038545369,0.0459295175969583
2024-11-30,0.00012485942089303332,0.0408044736838965
2024-12-01,0.0001873855660631961,0.0442901474656097
2024-12-02,0.00011602251927289912,0.038475420325993
2024-12-03,0.0001128728176468884,0.040405179427328
2024-12-04,0.00011003018492636842,0.0400809765621236
2024-12-05,0.00015380176668769883,0.0399126456693205
2024-12-06,0.00013630808077695606,
2024-12-07,0.0002341024490976421,0.0451611180641738
2024-12-08,8.993612528795669e-05,0.0423244421105606
2024-12-09,0.00034134778650432915,0.0584176679211311
2024-12-10,0.00015098934662485,0.0385681240542544
2024-12-11,0.00012274331588365794,0.0366957597434507
2024-12-12,0.0001990399032365456,0.041096188127993
2024-12-13,8.525046904172805e-05,0.0361846685409532
2024-12-14,0.00017770694615768404,0.0422460746903345
2024-12-15,0.000250464543830653,0.0461645014584047
2024-12-16,0.00031563853544528493,0.0527426441861091
2024-12-17,0.00020679049683359997,0.0520356575540568
2024-12-18,0.0002805993434534123,0.0477832020209993
2024-12-19,0.00011122187264306016,0.0522382035851459
2024-12-20,0.00014621676690507778,0.0556337079586159
2024-12-21,0.00011902247668499002,0.0440614454471963
2024-12-22,0.00026417056262151273,0.055177255125284
2024-12-23,,0.0509472776207519
2024-12-24,,
2024-12-25,0.00014103438391222922,0.0461631499561788
2024-12-26,0.0002345369018233282,0.0425371533764769
2024-12-27,,
2024-12-28,,
2024-12-29,,0.0402419045567497
2024-12-30,0.00014098508023996682,0.0412124548821564
2024-12-31,0.0003505906860202752,0.0507631834943293
2025-01-01,0.0001728118544673021,0.0455820742123951
2025-01-02,,
2025-01-03,0.00025892828125505675,
2025-01-04,0.0003352888964177117,0.0582676748548726
2025-01-05,0.00020275257124075896,0.042988628149031
2025-01-06,,0.0582102211519401
2025-01-07,,
2025-01-08,0.00014993242776887897,0.045145782666396
2025-01-09,0.0005174040394505297,0.0577262213191879
2025-01-10,0.0001945792911085453,0.0455229582587422
2025-01-11,,
2025-01-12,,0.0554379189666362
2025-01-13,0.00011388717429709096,0.0472969937348744
2025-01-14,0.00017002134700305126,0.0439746079383561
2025-01-15,,0.0494528664884263
2025-01-16,0.0003484137985583489,0.0546380745537021
2025-01-17,0.0001753364191627742,0.0430777164749892
2025-01-18,0.0004130560555495168,
2025-01-19,0.00015662967834350307,0.0482547258370047
2025-01-20,9.168074757326054e-05,0.0445438213646395
2025-01-21,0.00013888853366563405,0.0413310229778274
2025-01-22,0.000149488158739809,0.0401101360860743
2025-01-23,0.00010664590047680024,0.0441387272086648
2025-01-24,0.00010324800527183218,0.0424656074212906
2025-01-25,0.0001173081517060927,0.0377137176692471
2025-01-26,9.531067420589088e-05,0.0391961075326608
2025-01-27,0.00012334351430698972,0.0402745787764117
2025-01-28,0.0001761671509900058,0.0418751630692761
2025-01-29,0.00021462816789709997,0.0491443466672011
2025-01-30,0.00010028230255329696,0.0483172104815639
2025-01-31,0.0002321347873420671,0.05564965056249
2025-02-01,0.00027682993012653284,
2025-02-02,9.336743138074016e-05,0.0514640876349714
2025-02-03,0.00015071873402197112,0.0412337495420892
2025-02-04,,0.0425437550478104
2025-02-05,6.331604128477562e-05,0.0391611781689648
2025-02-06,6.522130532725631e-05,0.0371190592556312
2025-02-07,0.0001158089670258698,0.0342720105170953
2025-02-08,0.0001183795130211737,
2025-02-09,0.0002185252815252089,0.0391669447277929
2025-02-10,0.00019823033653664597,0.0390397992372085
2025-02-11,0.0002212023391621105,
2025-02-12,7.403295788859516e-05,0.0338224534433926
2025-02-13,7.973502688845508e-05,0.0354354758308441
2025-02-14,7.654653867005792e-05,0.0400805060066212
2025-02-15,0.00010483861115062218,0.0427314219969646
2025-02-16,0.0005307379759399306,0.0558680102438567
2025-02-17,0.00040654274740768297,
2025-02-18,0.00016599115908642095,0.0374980379819009
2025-02-19,0.00014146696771301037,
2025-02-20,9.566472726873698e-05,0.0466261605106688
2025-02-21,0.00037028670157003183,0.0554189463964767
2025-02-22,0.00016695919567273932,0.0456854640498103
2025-02-23,0.00013876828230118956,0.0382623697173502
2025-02-24,0.00015064031230020198,
2025-02-25,0.0001208701044421843,
2025-02-26,0.00014567534225164126,0.0496247844576002
2025-02-27,,
2025-02-28,7.669730909146224e-05,0.0430709388351739
2025-03-01,0.0002689158800273185,0.0412947098670479
2025-03-02,8.380343933822593e-05,0.0355562604963781
2025-03-03,0.00026148136698310145,0.0498973214597935
2025-03-04,8.259169320894997e-05,0.0399072025577081
2025-03-05,8.272411187013097e-05,0.0306135408985381
2025-03-06,0.00012370885870441442,0.0352094266586494
2025-03-07,9.736550222890508e-05,
2025-03-08,8.689266415318066e-05,0.037015834015633
2025-03-09,0.00012902793499336887,0.0474057171822794
2025-03-10,0.00011750200345944662,
2025-03-11,,
2025-03-12,0.0001571188342293559,0.0422907586818838
2025-03-13,0.00023248272360901467,
2025-03-14,0.00010284496179359344,
2025-03-15,0.00014914426092258248,0.0362858536400868
2025-03-16,0.00012084606147551896,0.0337873405139829
2025-03-17,0.00010749742757312336,0.0380694996258205
2025-03-18,7.3107327608225e-05,0.0334863478995476
2025-03-19,9.423929675653368e-05,0.0371567581240453
2025-03-20,0.00013588272930943938,0.0386250650885589
2025-03-21,9.038501575079505e-05,0.0378362107862039
2025-03-22,0.00011577715284934516,0.0337604104329933
2025-03-23,0.00014516757780237067,
2025-03-24,0.0001781235766088896,0.0472985702515299
2025-03-25,0.00017964109779785792,
2025-03-26,0.0002115128247807848,0.0458450217717148
2025-03-27,9.252389635275504e-05,0.038488277989526
2025-03-28,0.0001056859844892608,
2025-03-29,,
2025-03-30,0.00010086140523357914,0.0382660159439645
2025-03-31,9.07364848871398e-05,0.0355022291276464
2025-04-01,0.00011273329886757458,0.0355229399321337
2025-04-02,0.00012954810157336682,0.0387966020064341
2025-04-03,0.00016329357777411694,0.0401283947076085
2025-04-04,0.00012724358156968396,0.0466069612732576
2025-04-05,0.00010952239609718976,0.0402189993171176
2025-04-06,0.000117009012796159,0.0455234566121418
2025-04-07,0.00016010307316256006,
2025-04-08,0.0001282800758072907,
2025-04-09,0.00012340115299473166,
2025-04-10,0.0001691501948742285,
2025-04-11,0.00013872951333268236,0.0393449662221806
2025-04-12,0.0001906166756870181,0.0412861001826931
2025-04-13,0.00015671682194806053,
2025-04-14,0.00012399969273246364,0.0437620315777576
2025-04-15,0.00014568965707439387,0.0443045138521057
2025-04-16,8.462283410677871e-05,
2025-04-17,0.00013783631365391836,
2025-04-18,0.00013068705613731188,
2025-04-19,9.054749536420114e-05,
2025-04-20,,0.0461071831331714
2025-04-21,0.0001744322071317522,0.0453233953086026
2025-04-22,0.0001553680980851759,0.0356925662760678
2025-04-23,0.00013383492282326983,0.039842706464004
2025-04-24,0.00014133661627933075,
2025-04-25,0.00012719999478565135,
2025-04-26,,
2025-04-27,0.00018029621583133917,0.049177460292192
2025-04-28,0.00015643693957115195,0.057229101788275
2025-04-29,0.00013159730416877058,
2025-04-30,0.00013496783797475818,
2025-05-01,0.00010530274998514228,0.0550857598930205
2025-05-02,,
2025-05-03,0.0001874377450729266,0.048814513612357
2025-05-04,,0.0533895851285814
2025-05-05,,
2025-05-06,0.0001283678937375207,0.0433769859963598
2025-05-07,0.00010877690490611323,0.0448134307205053
2025-05-08,0.0001090876742072025,0.0492687191416866
2025-05-09,0.00013833961809035366,0.0433883840490907
2025-05-10,,0.0462905576231887
2025-05-11,8.070600671805425e-05,
2025-05-12,9.89612744888256e-05,0.0422571077942833
2025-05-13,0.00011124405410445613,0.0436493655126212
2025-05-14,0.00011167590992495907,0.0355217587653518
2025-05-15,9.239715666869693e-05,0.0544570420963945
2025-05-16,0.0001364017098427158,0.0479905866285072
2025-05-17,8.488974386939847e-05,0.0406784273309332
2025-05-18,0.00012300281000187876,0.0435622446238979
2025-05-19,0.00010272176387933966,0.0420449115335926
2025-05-20,0.00012830446034289717,0.0455747544765456
2025-05-21,0.0001265974743887049,
2025-05-22,6.047288970390471e-05,0.0467296501009043
2025-05-23,9.130443471086052e-05,0.0431002994695828
2025-05-24,8.927350313065159e-05,0.0425513683518881
2025-05-25,,
2025-05-26,6.547864961995006e-05,0.0393812768161283
2025-05-27,,0.0390145714090498
2025-05-28,0.000109107940414003,0.0485781864256196
2025-05-29,0.00018083206643822563,0.0544045574475723
